Designator,Mid X,Mid Y,Rotation,Layer
C1,-91.186,-30.353,90.0,top
C10,-110.998,-19.939,90.0,top
C11,-88.457,-21.02,180.0,top
C2,-127.3175,-30.8005,90.0,top
C3,-120.396,-23.241,270.0,top
C4,-91.44,-23.114,90.0,top
C5,-105.918,-26.67,0.0,top
C6,-105.918,-24.892,0.0,top
C7,-107.442,-19.939,90.0,top
C8,-105.664,-19.939,90.0,top
C9,-109.22,-19.939,90.0,top
R1,-96.266,-30.353,270.0,top
R2,-92.964,-30.353,270.0,top
R3,-125.603,-30.861,270.0,top
R4,-122.4455,-30.988,270.0,top
R5,-88.392,-22.86,0.0,top
R6,-88.519,-26.924,0.0,top
U1,-109.855,-24.638,270.0,top
USB1,-83.391,-24.638,90.0,top
USB2,-123.952,-15.312,180.0,top
USB3,-95.123,-15.439,180.0,top
USB5,-124.206,-35.989,0.0,top
USB6,-94.996,-35.989,0.0,top
